Provider,Channel,EventID,Count
ESENT,Application,412,299
LsaSrv,Microsoft-Windows-LSA/Operational,300,497
LsaSrv,Microsoft-Windows-LSA/Operational,302,1
MSSQL$MICROSOFT##WID,Application,17137,4
Microsoft-Windows-AppModel-Runtime,Microsoft-Windows-AppModel-Runtime/Admin,210,3
Microsoft-Windows-AppModel-Runtime,Microsoft-Windows-AppModel-Runtime/Admin,211,3
Microsoft-Windows-AppModel-Runtime,Microsoft-Windows-AppModel-Runtime/Admin,217,4
Microsoft-Windows-Bits-Client,Microsoft-Windows-Bits-Client/Operational,306,4
Microsoft-Windows-BrokerInfrastructure,Microsoft-Windows-BackgroundTaskInfrastructure/Operational,21,3
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,10,22422
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,11,22398
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,30,25088
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,40,345
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,41,346
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,42,8
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,50,39
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,51,39
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,52,10
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,53,10
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,60,16
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,80,6279
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,81,6293
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,82,20782
Microsoft-Windows-CAPI2,Microsoft-Windows-CAPI2/Operational,90,15333
Microsoft-Windows-CodeIntegrity,Microsoft-Windows-CodeIntegrity/Operational,3004,11
Microsoft-Windows-CodeIntegrity,Microsoft-Windows-CodeIntegrity/Operational,3033,10
Microsoft-Windows-CodeIntegrity,Microsoft-Windows-CodeIntegrity/Operational,3089,32
Microsoft-Windows-Crypto-DPAPI,Microsoft-Windows-Crypto-DPAPI/Debug,16385,108
Microsoft-Windows-Crypto-NCrypt,Microsoft-Windows-Crypto-NCrypt/Operational,2,1
Microsoft-Windows-DNS-Client,Microsoft-Windows-DNS-Client/Operational,3008,3220
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider,Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider/Operational,2545,7
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider,Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider/Operational,4000,7
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider,Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider/Operational,4009,28
Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider,Microsoft-Windows-DeviceManagement-Enterprise-Diagnostics-Provider/Operational,4019,7
Microsoft-Windows-Directory-Services-SAM,System,16969,1
Microsoft-Windows-DriverFrameworks-UserMode,Microsoft-Windows-DriverFrameworks-UserMode/Operational,1006,2
Microsoft-Windows-DriverFrameworks-UserMode,Microsoft-Windows-DriverFrameworks-UserMode/Operational,1008,2
Microsoft-Windows-DriverFrameworks-UserMode,Microsoft-Windows-DriverFrameworks-UserMode/Operational,2100,4
Microsoft-Windows-DriverFrameworks-UserMode,Microsoft-Windows-DriverFrameworks-UserMode/Operational,2102,4
Microsoft-Windows-DriverFrameworks-UserMode,Microsoft-Windows-DriverFrameworks-UserMode/Operational,2900,2
Microsoft-Windows-DriverFrameworks-UserMode,Microsoft-Windows-DriverFrameworks-UserMode/Operational,2901,2
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4004,1
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4005,1
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4006,10
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4016,10
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4017,45
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4115,3
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4116,3
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4117,6
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4126,12
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4216,2
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4257,12
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,4326,12
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,5016,10
Microsoft-Windows-GroupPolicy,Microsoft-Windows-GroupPolicy/Operational,5017,45
